frame,track_id,class,cls_id,conf,x_c,y_c,w,h
0,1,person,0,0.884880781173706,401.80389404296875,325.9043884277344,42.9591064453125,96.88409423828125
0,2,person,0,0.8105061054229736,291.97259521484375,255.0142822265625,12.388427734375,43.170654296875
0,3,person,0,0.7171343564987183,369.14935302734375,250.34246826171875,14.4891357421875,37.112060546875
0,4,person,0,0.657672643661499,354.53057861328125,245.9722900390625,14.39990234375,35.651611328125
1,1,person,0,0.8810794949531555,402.1605224609375,325.46551513671875,41.748870849609375,96.67153930664062
1,2,person,0,0.800109326839447,291.90203857421875,254.92068481445312,12.57562255859375,43.20668029785156
1,3,person,0,0.7106639742851257,370.03692626953125,249.890625,13.025360107421875,37.59564208984375
1,4,person,0,0.6710151433944702,353.90472412109375,246.64764404296875,14.3128662109375,35.99360656738281
2,1,person,0,0.8778092861175537,402.6713562011719,324.074951171875,40.6834716796875,96.58984375
2,2,person,0,0.7547152042388916,291.8226623535156,254.5078125,12.66644287109375,42.0338134765625
2,3,person,0,0.7293569445610046,370.668701171875,249.68385314941406,12.278350830078125,36.510467529296875
2,4,person,0,0.6784191727638245,352.27178955078125,246.68191528320312,16.591522216796875,35.76771545410156
3,1,person,0,0.8608834743499756,402.4658508300781,323.93756103515625,38.921630859375,97.79598999023438
3,2,person,0,0.7615283131599426,291.56866455078125,254.29229736328125,12.464508056640625,41.41340637207031
3,3,person,0,0.7132411003112793,370.9429931640625,249.59432983398438,11.935577392578125,37.00489807128906
3,4,person,0,0.686992347240448,352.13232421875,247.30343627929688,16.213897705078125,34.46565246582031
4,1,person,0,0.8509824275970459,402.46856689453125,323.54461669921875,38.048187255859375,97.8563232421875
4,2,person,0,0.7620125412940979,291.4796142578125,254.613525390625,12.197906494140625,41.60272216796875
4,3,person,0,0.6771106719970703,371.26141357421875,249.71072387695312,11.885223388671875,36.80064392089844
4,4,person,0,0.7067018747329712,352.51812744140625,247.64108276367188,14.242950439453125,33.21235656738281
5,1,person,0,0.8520417809486389,402.2563781738281,322.9796142578125,36.54351806640625,97.10671997070312
5,2,person,0,0.7591404914855957,291.4629821777344,254.2845458984375,12.05621337890625,40.22193908691406
5,3,person,0,0.46785831451416016,371.79052734375,249.646240234375,12.362823486328125,36.2396240234375
5,4,person,0,0.7274281978607178,353.02630615234375,248.69851684570312,13.029998779296875,31.44256591796875
6,1,person,0,0.8567398190498352,401.82666015625,322.1549377441406,35.412506103515625,96.1964111328125
6,2,person,0,0.7512948513031006,291.23284912109375,254.53526306152344,12.239471435546875,40.174530029296875
6,3,person,0,0.34251847863197327,372.09393310546875,249.6255340576172,12.570587158203125,36.031829833984375
6,4,person,0,0.7225092053413391,353.07781982421875,249.6148681640625,12.145233154296875,29.663619995117188
7,1,person,0,0.8582642078399658,401.47662353515625,321.0609130859375,34.894805908203125,95.61911010742188
7,2,person,0,0.7693798542022705,290.88433837890625,255.01918029785156,12.352813720703125,40.505706787109375
7,4,person,0,0.7409331202507019,353.186767578125,250.10653686523438,11.910919189453125,29.051223754882812
8,1,person,0,0.8703972697257996,401.36566162109375,319.8390808105469,34.845672607421875,94.05780029296875
8,2,person,0,0.7604196071624756,290.4407958984375,254.94189453125,12.310699462890625,40.2279052734375
8,4,person,0,0.7524030804634094,353.31903076171875,249.6765594482422,11.857269287109375,30.141326904296875
9,1,person,0,0.8713669776916504,401.4034118652344,318.99237060546875,34.91900634765625,93.326904296875
9,2,person,0,0.744443416595459,290.102783203125,255.61993408203125,12.5411376953125,41.17402648925781
9,4,person,0,0.7211891412734985,353.3828125,248.98098754882812,13.10003662109375,31.866043090820312
10,1,person,0,0.8507354259490967,401.16436767578125,318.07452392578125,34.612579345703125,93.10317993164062
10,2,person,0,0.7705318927764893,289.7666015625,255.92816162109375,12.504852294921875,41.92225646972656
10,4,person,0,0.7085837125778198,353.1658935546875,247.79612731933594,16.721527099609375,33.335723876953125
11,1,person,0,0.8404882550239563,400.9706726074219,316.20880126953125,34.35205078125,90.7435302734375
11,2,person,0,0.7387174367904663,289.43170166015625,256.02978515625,12.550018310546875,42.031768798828125
11,4,person,0,0.7157663702964783,353.1370849609375,247.15280151367188,14.690704345703125,33.33235168457031
12,1,person,0,0.8301898241043091,400.7399597167969,313.112060546875,33.96038818359375,85.47369384765625
12,2,person,0,0.7611770629882812,289.2015075683594,255.99072265625,12.86260986328125,41.82379150390625
12,4,person,0,0.6759088039398193,353.1470642089844,246.3590087890625,12.47637939453125,30.83465576171875
12,3,person,0,0.6944825053215027,375.26947021484375,250.034423828125,15.13177490234375,34.82421875
13,1,person,0,0.8183014392852783,400.2379150390625,311.04486083984375,33.282318115234375,82.29751586914062
13,2,person,0,0.7351351976394653,289.0040283203125,255.85101318359375,13.170135498046875,41.58134460449219
13,4,person,0,0.7154466509819031,353.2279052734375,246.99371337890625,12.523590087890625,32.06292724609375
13,6,bicycle,1,0.6447285413742065,404.0545349121094,344.80023193359375,21.98370361328125,62.707611083984375
13,3,person,0,0.5851104259490967,375.7206115722656,249.99551391601562,14.58642578125,34.54634094238281
14,1,person,0,0.8089485764503479,400.026611328125,310.34393310546875,32.545135498046875,81.84732055664062
14,2,person,0,0.7212526202201843,288.6470642089844,255.78338623046875,13.6473388671875,41.59761047363281
14,4,person,0,0.6847087144851685,352.97381591796875,246.74951171875,12.08648681640625,31.407821655273438
14,6,bicycle,1,0.524706244468689,403.98651123046875,343.62091064453125,21.246490478515625,63.144195556640625
