Window Clock,TargetNum,AmpData,AngleData,DistanceGate,Frequency,RealXData,RealYData,DataType,Noise Floor,StaticResponse,BodySpeed,YawRate,Gear,Blinker,Hazard,Brake,Rudder,Deterioration Flag,Target Overflow Flag,Noise Floor For AutoTh,DistG0 Amp,Left Angle Err,Right Angle Err,SyncCounter,MinusDistAmp,Angle Converge first,Angle Converge current,Angle Err
0,0,245,-56.5,64,32,-8.0053,5.2986,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,10,0,0,0,0
0,1,289,-56.5,68,32,-8.50564,5.62976,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,10,0,0,0,0
0,2,244,-56.5,72,32,-9.00597,5.96092,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,10,0,0,0,0
0,3,49,-12.6,76,30.75,-2.48683,11.1255,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,10,0,0,0,0
0,4,156,-53.4,76,32,-9.15212,6.79696,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,10,0,0,0,0
0,5,42,-14.4,80,32.25,-2.98428,11.623,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,10,0,0,0,0
0,6,111,-51.6,80,32,-9.40432,7.45377,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,10,0,0,0,0
0,7,72,5.4,88,32.25,1.24223,13.1414,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,10,0,0,0,0
0,8,139,-57.4,60,32,-7.58207,4.84894,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,10,0,0,0,0
0,9,65,4.8,92,32.25,1.15475,13.7516,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,10,0,0,0,0
40,0,244,-57.4,64,32,-8.08754,5.1722,0,7936,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,11,0,0,0,0
40,1,289,-56.5,68,32,-8.50564,5.62976,0,7936,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,11,0,0,0,0
40,2,41,71.1,8,33,1.1353,0.388701,0,7936,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,11,0,0,0,0
40,3,75,0.1,72,32.25,0.0188495,10.8,0,7936,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,11,0,0,0,0
40,4,241,-56.5,72,32,-9.00597,5.96092,0,7936,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,11,0,0,0,0
40,5,121,-0.6,76,32.25,-0.119378,11.3994,0,7936,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,11,0,0,0,0
40,6,161,-49.8,76,32,-8.70727,7.35822,0,7936,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,11,0,0,0,0
40,7,85,-12,80,32.25,-2.49494,11.7378,0,7936,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,11,0,0,0,0
40,8,109,-55.4,80,32,-9.87764,6.81413,0,7936,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,11,0,0,0,0
40,9,58,20.6,84,32.25,4.43321,11.7944,0,7936,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,11,0,0,0,0
40,10,86,-45.9,84,32,-9.04839,8.7685,0,7936,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,11,0,0,0,0
40,11,139,-56.5,60,32,-7.50497,4.96743,0,7936,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,11,0,0,0,0
40,12,35,-9,92,30.75,-2.1588,13.6301,0,7936,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,11,0,0,0,0
80,0,248,-56.5,64,32,-8.0053,5.2986,0,1141,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,12,0,0,0,0
80,1,291,-56.5,68,32,-8.50564,5.62976,0,1141,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,12,0,0,0,0
80,2,240,-56.5,72,32,-9.00597,5.96092,0,1141,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,12,0,0,0,0
80,3,71,7.2,76,32.25,1.4288,11.3101,0,1141,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,12,0,0,0,0
80,4,166,-53.4,76,32,-9.15212,6.79696,0,1141,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,12,0,0,0,0
80,5,61,6.6,80,30.75,1.37925,11.9205,0,1141,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,12,0,0,0,0
80,6,75,5.4,80,32.25,1.1293,11.9467,0,1141,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,12,0,0,0,0
80,7,103,-48,80,32,-8.91774,8.02957,0,1141,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,12,0,0,0,0
80,8,57,-0.6,84,32.25,-0.131944,12.5993,0,1141,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,12,0,0,0,0
