Window Clock,TargetNum,AmpData,AngleData,DistanceGate,Frequency,RealXData,RealYData,DataType,Noise Floor,StaticResponse,BodySpeed,YawRate,Gear,Blinker,Hazard,Brake,Rudder,Deterioration Flag,Target Overflow Flag,Noise Floor For AutoTh,DistG0 Amp,Left Angle Err,Right Angle Err,SyncCounter,MinusDistAmp,Angle Converge first,Angle Converge current,Angle Err
0,0,243,-58.4,64,32,-8.17658,5.03026,0,1334,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,9,0,0,0,0
0,1,32,-6,192,31.25,-3.01042,28.6422,0,1334,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,9,0,0,0,0
0,2,26,-9.6,192,33,-4.80294,28.3967,0,1334,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,9,0,0,0,0
0,3,286,-57.4,68,32,-8.59301,5.49546,0,1334,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,9,0,0,0,0
0,4,45,-1.8,196,32.75,-0.923476,29.3855,0,1334,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,9,0,0,0,0
0,5,42,-1.2,196,33,-0.615707,29.3936,0,1334,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,9,0,0,0,0
0,6,238,-56.5,72,32,-9.00597,5.96092,0,1334,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,9,0,0,0,0
0,7,29,-1.8,200,33,-0.942323,29.9852,0,1334,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,9,0,0,0,0
0,8,149,-55.4,76,32,-9.38375,6.47342,0,1334,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,9,0,0,0,0
0,9,20,0.6,172,30.75,0.270172,25.7986,0,1334,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,9,0,0,0,0
0,10,27,1.3,172,31.25,0.585333,25.7934,0,1334,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,9,0,0,0,0
0,11,100,-51.6,80,32,-9.40432,7.45377,0,1334,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,9,0,0,0,0
0,12,24,6.6,176,31,3.03434,26.225,0,1334,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,9,0,0,0,0
0,13,32,-5.4,152,32.75,-2.14567,22.6988,0,1334,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,9,0,0,0,0
0,14,30,-6,152,33,-2.38325,22.6751,0,1334,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,9,0,0,0,0
0,15,44,4.8,60,30.5,0.753101,8.96844,0,1334,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,9,0,0,0,0
0,16,137,-58.4,60,32,-7.66554,4.71587,0,1334,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,9,0,0,0,0
0,17,21,-4.2,156,32.5,-1.71377,23.3372,0,1334,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,9,0,0,0,0
40,0,243,-58.4,64,32,-8.17658,5.03026,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,10,0,0,0,0
40,1,41,-1.2,192,31.75,-0.603142,28.7937,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,10,0,0,0,0
40,2,39,0.1,192,32.25,0.0502655,28.8,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,10,0,0,0,0
40,3,285,-57.4,68,32,-8.59301,5.49546,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,10,0,0,0,0
40,4,23,-6.6,196,32.75,-3.37915,29.2052,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,10,0,0,0,0
40,5,24,-4.8,196,33,-2.46013,29.2969,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,10,0,0,0,0
40,6,237,-56.5,72,32,-9.00597,5.96092,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,10,0,0,0,0
40,7,20,1.8,200,32.25,0.942323,29.9852,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,10,0,0,0,0
40,8,150,-54.4,76,32,-9.26935,6.6362,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,10,0,0,0,0
40,9,99,-51.6,80,32,-9.40432,7.45377,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,10,0,0,0,0
40,10,21,2.4,176,31,1.10552,26.3768,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,10,0,0,0,0
40,11,24,-6,148,31.75,-2.32053,22.0784,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,10,0,0,0,0
40,12,40,8.3,60,30.5,1.29921,8.90573,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,10,0,0,0,0
40,13,31,6.6,60,31,1.03443,8.94035,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,10,0,0,0,0
40,14,136,-58.4,60,32,-7.66554,4.71587,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,10,0,0,0,0
40,15,24,-8.4,188,32.5,-4.11954,27.8975,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,10,0,0,0,0
80,0,242,-57.4,64,32,-8.08754,5.1722,0,7936,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,11,0,0,0,0
80,1,28,-2.4,192,32.75,-1.20602,28.7747,0,7936,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,11,0,0,0,0
80,2,24,-1.8,192,33,-0.90463,28.7858,0,7936,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,11,0,0,0,0
80,3,287,-56.5,68,32,-8.50564,5.62976,0,7936,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,11,0,0,0,0
80,4,28,4.8,164,30.75,2.05848,24.5137,0,7936,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,11,0,0,0,0
80,5,33,4.2,164,31,1.80166,24.5339,0,7936,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,11,0,0,0,0
