frame,track_id,class,cls_id,conf,x_c,y_c,w,h
0,1,person,0,0.8860374093055725,417.70904541015625,309.70416259765625,29.0660400390625,82.0888671875
1,1,person,0,0.8856302499771118,417.54791259765625,309.6070251464844,29.35015869140625,81.7642822265625
2,1,person,0,0.8879680037498474,417.322509765625,309.59930419921875,29.605682373046875,81.87814331054688
3,1,person,0,0.8899365067481995,417.03118896484375,309.5384521484375,29.61761474609375,81.59683227539062
3,2,person,0,0.5885496735572815,369.5643310546875,243.40399169921875,10.07818603515625,33.16072082519531
4,1,person,0,0.8873323202133179,416.97601318359375,309.36419677734375,29.634796142578125,81.23678588867188
4,2,person,0,0.5925003290176392,369.10296630859375,243.25198364257812,10.35650634765625,32.75408935546875
5,1,person,0,0.8898110389709473,416.848388671875,309.1009216308594,29.479400634765625,80.9383544921875
5,2,person,0,0.46769747138023376,368.4281311035156,242.6358642578125,10.763427734375,32.71348571777344
6,1,person,0,0.8900305032730103,416.7876281738281,308.61834716796875,29.22021484375,80.06979370117188
6,2,person,0,0.38760823011398315,367.3791198730469,243.8289337158203,11.0645751953125,30.848541259765625
7,1,person,0,0.8791720867156982,416.61370849609375,307.8397216796875,28.712066650390625,79.45468139648438
7,2,person,0,0.28914034366607666,366.92156982421875,244.26327514648438,10.786468505859375,29.866378784179688
8,1,person,0,0.8629331588745117,416.4643859863281,307.2641906738281,28.19049072265625,79.1572265625
8,2,person,0,0.3293032646179199,366.3287353515625,243.48806762695312,11.97711181640625,32.46983337402344
9,1,person,0,0.8761760592460632,416.2295837402344,305.9493103027344,27.97344970703125,77.39703369140625
9,2,person,0,0.4583967924118042,365.3524169921875,246.42086791992188,13.800872802734375,39.79786682128906
10,1,person,0,0.8809805512428284,415.94305419921875,305.61468505859375,27.834320068359375,76.95639038085938
10,2,person,0,0.33800604939460754,364.243408203125,245.0874786376953,12.691009521484375,34.920074462890625
11,1,person,0,0.8741989731788635,415.3736267089844,305.11260986328125,28.15972900390625,77.56814575195312
12,1,person,0,0.8732073903083801,414.81683349609375,304.8370361328125,28.0601806640625,77.95245361328125
13,1,person,0,0.8813113570213318,414.2431640625,304.68414306640625,28.255889892578125,78.13449096679688
14,1,person,0,0.8863628506660461,413.72747802734375,304.5727844238281,28.3541259765625,78.2841796875
15,1,person,0,0.8925607204437256,413.1250915527344,304.3988037109375,29.17822265625,78.27822875976562
16,1,person,0,0.8940033912658691,412.30352783203125,304.22003173828125,29.330902099609375,78.58596801757812
16,2,person,0,0.6576048135757446,356.7388610839844,253.63876342773438,11.07745361328125,38.3564453125
17,1,person,0,0.8953195810317993,411.69866943359375,304.02581787109375,29.694061279296875,77.921142578125
17,2,person,0,0.539574384689331,354.9661865234375,254.74447631835938,10.1168212890625,37.21092224121094
18,1,person,0,0.899066150188446,410.92724609375,303.92791748046875,30.405792236328125,77.79190063476562
18,2,person,0,0.6120408773422241,353.3435974121094,255.11453247070312,10.4210205078125,36.6907958984375
19,1,person,0,0.8984997272491455,410.3317565917969,303.90435791015625,30.42041015625,77.53701782226562
19,2,person,0,0.6649381518363953,351.8155212402344,255.29080200195312,11.41796875,36.36271667480469
20,1,person,0,0.8821576237678528,409.7354736328125,303.68756103515625,30.23828125,76.9716796875
20,2,person,0,0.7514497637748718,350.842041015625,256.81878662109375,11.950897216796875,36.20515441894531
20,3,person,0,0.6378172636032104,335.43792724609375,249.9749298095703,11.9986572265625,38.056610107421875
21,1,person,0,0.870300829410553,409.04107666015625,303.54248046875,30.224029541015625,76.51473999023438
21,2,person,0,0.6448268294334412,349.9744873046875,256.1376953125,12.402252197265625,34.456695556640625
21,3,person,0,0.5637361407279968,335.86993408203125,249.91287231445312,12.566436767578125,37.87971496582031
22,1,person,0,0.8652982711791992,408.3241271972656,303.3075256347656,29.8416748046875,76.19049072265625
22,2,person,0,0.6825270056724548,349.67962646484375,255.28839111328125,12.523956298828125,33.575439453125
22,3,person,0,0.400708943605423,335.80767822265625,249.9227294921875,11.77886962890625,37.47212219238281
23,1,person,0,0.8688815236091614,407.09698486328125,303.003173828125,29.58392333984375,75.89871215820312
23,2,person,0,0.6583094000816345,348.8796081542969,254.59539794921875,13.03704833984375,33.730224609375
23,3,person,0,0.36839526891708374,336.34625244140625,245.6558837890625,11.10369873046875,28.53094482421875
24,1,person,0,0.8673942685127258,406.28204345703125,301.8782043457031,29.343231201171875,74.95062255859375
24,2,person,0,0.5459051728248596,348.0732116699219,253.9302978515625,13.07427978515625,33.49494934082031
24,3,person,0,0.2760469317436218,338.0950927734375,244.2354736328125,10.341461181640625,25.293701171875
25,1,person,0,0.8519323468208313,405.60614013671875,300.9337158203125,29.3154296875,74.20657348632812
25,2,person,0,0.5070047378540039,346.78594970703125,253.96604919433594,16.594085693359375,37.147186279296875
26,1,person,0,0.8478853702545166,404.7843017578125,300.4193420410156,30.448577880859375,74.37384033203125
26,2,person,0,0.6495023965835571,344.66473388671875,254.60089111328125,20.327423095703125,40.08216857910156
27,1,person,0,0.8580138087272644,404.244140625,299.9949645996094,31.710601806640625,74.4794921875
27,2,person,0,0.7264617681503296,343.7027282714844,254.2640380859375,21.184814453125,42.36346435546875
28,1,person,0,0.8501335978507996,403.83245849609375,299.78314208984375,33.171783447265625,74.83016967773438
28,2,person,0,0.7071335911750793,343.0350341796875,254.31002807617188,19.99310302734375,42.77899169921875
29,1,person,0,0.859283983707428,403.4308776855469,299.73968505859375,33.322021484375,75.24520874023438
29,2,person,0,0.6421156525611877,342.69879150390625,254.5557098388672,17.929229736328125,41.871185302734375
30,1,person,0,0.8695409893989563,402.66839599609375,299.8555908203125,33.121795654296875,75.67642211914062
30,2,person,0,0.47890448570251465,341.7626953125,254.92025756835938,16.3780517578125,39.74613952636719
31,1,person,0,0.8731544613838196,401.60809326171875,299.8492736816406,31.794647216796875,75.9061279296875
31,2,person,0,0.4914688169956207,340.48089599609375,255.9866943359375,15.669586181640625,36.82466125488281
32,1,person,0,0.8749329447746277,401.55438232421875,299.8428649902344,32.3465576171875,76.04290771484375
32,2,person,0,0.5618621706962585,338.1753845214844,255.40206909179688,13.14630126953125,38.14033508300781
33,1,person,0,0.8690026998519897,401.0777282714844,299.98028564453125,31.67437744140625,75.93023681640625
33,2,person,0,0.5973275899887085,336.0732421875,255.49505615234375,12.029449462890625,38.91880798339844
34,1,person,0,0.8640666604042053,401.610107421875,299.7326354980469,33.476226806640625,75.105712890625
34,2,person,0,0.6145467162132263,334.6025390625,256.28948974609375,11.228668212890625,37.62590026855469
35,1,person,0,0.8702832460403442,400.3011779785156,299.7933044433594,31.62811279296875,74.447021484375
35,2,person,0,0.727389395236969,333.7832336425781,256.8206481933594,11.6446533203125,36.6331787109375
36,1,person,0,0.8614681363105774,399.6543273925781,299.3909912109375,31.1715087890625,74.12533569335938
36,2,person,0,0.5770034193992615,333.08428955078125,255.90841674804688,12.260955810546875,37.73783874511719
37,1,person,0,0.8686342835426331,399.11859130859375,298.9659423828125,31.07037353515625,73.593505859375
37,2,person,0,0.5597203969955444,331.7166748046875,255.5321044921875,15.0125732421875,37.99885559082031
37,4,person,0,0.5562917590141296,349.7932434082031,250.85264587402344,11.22918701171875,35.327606201171875
38,1,person,0,0.862662672996521,399.00689697265625,298.5778503417969,31.2308349609375,73.111328125
38,2,person,0,0.6462757587432861,329.9799499511719,256.2701721191406,18.56011962890625,37.03144836425781
38,4,person,0,0.3689507842063904,350.6142578125,250.42471313476562,12.32904052734375,36.18495178222656
39,1,person,0,0.867525577545166,398.8585510253906,298.0714111328125,31.0064697265625,73.06167602539062
39,2,person,0,0.6027199029922485,329.60980224609375,255.75900268554688,19.507659912109375,37.85087585449219
39,4,person,0,0.39309966564178467,351.4429931640625,251.51296997070312,13.687347412109375,35.04571533203125
40,1,person,0,0.8709065914154053,398.3794860839844,297.0302734375,30.03448486328125,71.75912475585938
40,2,person,0,0.41511765122413635,329.37652587890625,254.15216064453125,18.605316162109375,40.77912902832031
40,4,person,0,0.48723703622817993,352.88104248046875,251.41293334960938,16.46490478515625,34.71319580078125
41,1,person,0,0.8670966625213623,397.9144592285156,296.30279541015625,30.49395751953125,71.24020385742188
41,2,person,0,0.39467567205429077,329.1031494140625,255.92559814453125,18.1851806640625,37.138427734375
41,4,person,0,0.5437690615653992,353.54034423828125,248.73583984375,17.511688232421875,39.45411682128906
42,1,person,0,0.8670098185539246,397.496826171875,295.67572021484375,29.989044189453125,70.90408325195312
42,2,person,0,0.3995574414730072,328.25299072265625,256.0404357910156,19.06292724609375,37.06391906738281
42,4,person,0,0.6396852731704712,354.16204833984375,247.1141357421875,18.480438232421875,42.36277770996094
43,1,person,0,0.8635745644569397,397.17132568359375,294.9334716796875,29.9266357421875,70.93435668945312
43,2,person,0,0.48364222049713135,327.83795166015625,254.9077911376953,19.75103759765625,39.334625244140625
43,4,person,0,0.6625527739524841,354.2671813964844,247.40699768066406,18.35723876953125,41.242034912109375
44,1,person,0,0.8736510872840881,396.7808837890625,294.8001708984375,29.455047607421875,71.15545654296875
44,2,person,0,0.28407686948776245,326.3409423828125,254.17922973632812,18.0115966796875,39.65098571777344
44,4,person,0,0.6662359833717346,354.79278564453125,247.88995361328125,18.22381591796875,40.57794189453125
45,1,person,0,0.8582596778869629,396.3729248046875,294.69866943359375,29.37030029296875,71.4051513671875
45,4,person,0,0.48681944608688354,355.10186767578125,248.13858032226562,18.200347900390625,39.7596435546875
46,1,person,0,0.8462936282157898,395.99951171875,294.8948974609375,29.719940185546875,71.62374877929688
46,4,person,0,0.3490346372127533,355.82415771484375,249.54769897460938,17.058319091796875,36.86924743652344
47,1,person,0,0.8305789232254028,395.623046875,294.46746826171875,29.139495849609375,70.95599365234375
47,4,person,0,0.4763096868991852,356.38739013671875,249.69937133789062,15.904998779296875,36.86442565917969
47,2,person,0,0.5676602125167847,321.5945739746094,253.94064331054688,13.19952392578125,39.47563171386719
