Window Clock,TargetNum,AmpData,AngleData,DistanceGate,Frequency,RealXData,RealYData,DataType,Noise Floor,StaticResponse,BodySpeed,YawRate,Gear,Blinker,Hazard,Brake,Rudder,Deterioration Flag,Target Overflow Flag,Noise Floor For AutoTh,DistG0 Amp,Left Angle Err,Right Angle Err,SyncCounter,MinusDistAmp,Angle Converge first,Angle Converge current,Angle Err
0,0,69,8.3,64,30.75,1.38582,9.49945,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,15,0,0,0,0
0,1,71,8.3,64,31,1.38582,9.49945,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,15,0,0,0,0
0,2,249,-56.5,64,32,-8.0053,5.2986,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,15,0,0,0,0
0,3,50,8.3,96,30.75,2.07873,14.2492,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,15,0,0,0,0
0,4,53,5.4,96,32.25,1.35516,14.3361,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,15,0,0,0,0
0,5,51,9.4,68,30.75,1.66592,10.063,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,15,0,0,0,0
0,6,52,8.8,68,31,1.56046,10.0799,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,15,0,0,0,0
0,7,294,-55.4,68,32,-8.39599,5.79201,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,15,0,0,0,0
0,8,68,4.8,100,30.75,1.25517,14.9474,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,15,0,0,0,0
0,9,62,4.8,100,32.25,1.25517,14.9474,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,15,0,0,0,0
0,10,30,1.3,72,31,0.245023,10.7972,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,15,0,0,0,0
0,11,244,-55.4,72,32,-8.88987,6.13271,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,15,0,0,0,0
0,12,48,3.6,104,30.75,0.979532,15.5692,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,15,0,0,0,0
0,13,44,7.2,104,32.25,1.9552,15.477,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,15,0,0,0,0
0,14,155,-51.6,76,32,-8.93411,7.08108,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,15,0,0,0,0
0,15,51,-4.8,80,31,-1.00413,11.9579,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,15,0,0,0,0
0,16,111,-45.9,80,32,-8.61752,8.35095,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,15,0,0,0,0
0,17,114,0.1,84,30.75,0.0219911,12.6,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,15,0,0,0,0
0,18,144,0.6,84,31,0.131944,12.5993,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,15,0,0,0,0
0,19,81,0.1,84,32.25,0.0219911,12.6,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,15,0,0,0,0
0,20,88,-51.6,84,32,-9.87454,7.82646,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,15,0,0,0,0
0,21,162,1.8,88,30.75,0.414622,13.1935,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,15,0,0,0,0
0,22,211,1.8,88,31.25,0.414622,13.1935,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,15,0,0,0,0
0,23,128,1.8,88,32.25,0.414622,13.1935,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,15,0,0,0,0
0,24,21,3.1,120,31.25,0.973419,17.9737,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,15,0,0,0,0
0,25,139,-56.5,60,32,-7.50497,4.96743,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,15,0,0,0,0
0,26,108,1.8,92,32.25,0.433468,13.7932,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,15,0,0,0,0
40,0,250,-56.5,64,32,-8.0053,5.2986,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,0,0,0,0,0
40,1,294,-55.4,68,32,-8.39599,5.79201,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,0,0,0,0,0
40,2,60,7.2,100,30.75,1.88,14.8817,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,0,0,0,0,0
40,3,45,6.1,100,32.25,1.59396,14.9151,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,0,0,0,0,0
40,4,34,1.8,72,31,0.339236,10.7947,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,0,0,0,0,0
40,5,242,-55.4,72,32,-8.88987,6.13271,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,0,0,0,0,0
40,6,157,-51.6,76,32,-8.93411,7.08108,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,0,0,0,0,0
40,7,66,0.6,80,30.75,0.125661,11.9993,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,0,0,0,0,0
40,8,78,0.1,80,31,0.0209439,12,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,0,0,0,0,0
40,9,38,-0.6,80,32.25,-0.125661,11.9993,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,0,0,0,0,0
40,10,109,-45,80,32,-8.48528,8.48528,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,0,0,0,0,0
40,11,84,-48,84,32,-9.36363,8.43105,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,0,0,0,0,0
40,12,39,7.8,56,30.75,1.14001,8.32228,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,0,0,0,0,0
40,13,40,8.3,56,31,1.21259,8.31202,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,0,0,0,0,0
40,14,81,6.6,60,30.75,1.03443,8.94035,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,0,0,0,0,0
40,15,81,6.6,60,31,1.03443,8.94035,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,0,0,0,0,0
40,16,143,-57.4,60,32,-7.58207,4.84894,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,0,0,0,0,0
40,17,50,1.8,92,32.25,0.433468,13.7932,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,0,0,0,0,0
80,0,95,6.6,64,30.75,1.1034,9.53638,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,1,0,0,0,0
80,1,104,6.6,64,31,1.1034,9.53638,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,1,0,0,0,0
80,2,251,-56.5,64,32,-8.0053,5.2986,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,1,0,0,0,0
80,3,43,7.2,96,32.25,1.8048,14.2865,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,1,0,0,0,0
80,4,90,6.6,68,30.75,1.17236,10.1324,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,1,0,0,0,0
80,5,99,6.6,68,31,1.17236,10.1324,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,1,0,0,0,0
80,6,295,-55.4,68,32,-8.39599,5.79201,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,1,0,0,0,0
80,7,31,10.6,100,31,2.75927,14.744,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,1,0,0,0,0
80,8,76,6.1,72,30.75,1.14765,10.7388,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,1,0,0,0,0
80,9,80,5.4,72,31,1.01637,10.7521,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,1,0,0,0,0
80,10,244,-54.4,72,32,-8.78149,6.28693,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,1,0,0,0,0
80,11,33,6.1,104,30.75,1.65772,15.5117,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,1,0,0,0,0
80,12,41,5.4,104,31,1.46809,15.5308,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,1,0,0,0,0
80,13,38,6.1,76,30.75,1.21141,11.3355,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,1,0,0,0,0
80,14,38,4.8,76,31,0.953927,11.36,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,1,0,0,0,0
80,15,155,-51.6,76,32,-8.93411,7.08108,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,1,0,0,0,0
80,16,73,1.3,80,30.75,0.272248,11.9969,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,1,0,0,0,0
80,17,90,0.6,80,31,0.125661,11.9993,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,1,0,0,0,0
80,18,48,0.1,80,32.25,0.0209439,12,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,1,0,0,0,0
80,19,113,-46.7,80,32,-8.73327,8.22982,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,1,0,0,0,0
80,20,72,-1.2,84,30.75,-0.263875,12.5972,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,1,0,0,0,0
80,21,71,0.1,84,32.25,0.0219911,12.6,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,1,0,0,0,0
80,22,43,4.8,56,30.75,0.702894,8.37054,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,1,0,0,0,0
80,23,46,4.8,56,31,0.702894,8.37054,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,1,0,0,0,0
80,24,51,1.3,88,32.25,0.299473,13.1966,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,1,0,0,0,0
80,25,81,7.8,60,30.75,1.22144,8.91673,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,1,0,0,0,0
80,26,90,7.2,60,31,1.128,8.92903,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,1,0,0,0,0
80,27,33,6.1,60,32.25,0.956377,8.94904,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,1,0,0,0,0
80,28,144,-56.5,60,32,-7.50497,4.96743,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,1,0,0,0,0
80,29,98,4.2,92,30.75,1.01069,13.7629,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,1,0,0,0,0
80,30,129,4.2,92,31.25,1.01069,13.7629,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,1,0,0,0,0
80,31,77,3.6,92,32.25,0.866509,13.7728,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,1,0,0,0,0
120,0,112,7.2,64,30.75,1.2032,9.5243,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,2,0,0,0,0
120,1,120,7.2,64,31,1.2032,9.5243,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,2,0,0,0,0
120,2,250,-56.5,64,32,-8.0053,5.2986,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,2,0,0,0,0
